Contact_name,ph_no,Address,Latitude,Longitude,Zone,Speciality,Locality,Contact_id,Segment,Contact_email,customer_id_x,referrals_count,visit_count,current_status,customer_id_y,days_since_last_visit,customer_id,visit_count_last_90,rule_score,catboost_score,priority_score
OHM Multispeciality Hospital,+91 91733 84224,"18-19, Ghatlodia Rd, Karmachari Nagar Part-1, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06583,72.53915,WEST,Multi-Specialty,Ghatlodiya,CONT_AHD_007,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.038260882042106,12.019130441021053
Murlidhar Hospital,+91 79 2752 3344,"Near Railway Crossing, Ranip, Ahmedabad, Gujarat 382480",23.0785,72.5723,WEST,Multi-Specialty,Ranip,CONT_AHD_059,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.037135570230678,12.018567785115339
Bodyline Hospitals,+91 79 2656 0000,"2nd Floor, Vikas Centre, C.G. Road, Navrangpura, Ahmedabad, Gujarat 380009",23.03482,72.56011,WEST,Multi-Specialty,Navrangpura,CONT_AHD_051,Growth Catalyst,bodylinehospital@gmail.com,,0,0,Unaware,,365.0,,0.0,12,12.036686186236357,12.01834309311818
Epic Hospital,+91 79 6815 5000,"Science City Road, Sola, Ahmedabad",23.075,72.525,WEST,Multi-Specialty,Sola,CONT_AHD_REAL_269,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.023840615476878,12.011920307738439
Sterling Hospital,+91 79 4001 1111,"Gurukul Road, Memnagar, Ahmedabad",23.05,72.52,WEST,Multi-Specialty,Memnagar,CONT_AHD_REAL_262,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,12.022170073733715,12.011085036866858
Satyamev Hospital,+91 79 2755 6677,"Near Chandlodiya Bridge, Chandlodiya, Ahmedabad, Gujarat 382481",23.0812,72.5498,WEST,Multi-Specialty,Chandlodiya,CONT_AHD_047,Growth Catalyst,info@satyamevhospital.com,,0,0,Unaware,,365.0,,0.0,12,12.000428164508325,12.000214082254162
Arihant Hospital,+91 79 2760 5620,"Nar Ghanshyam Complex, Ghansyam Nagar Part 2, Gayatri Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08005,72.55206,WEST,Multi-Specialty,Chandlodiya,CONT_AHD_021,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,11.998126133170205,11.999063066585101
Mediheal Hospital,+91 75673 61000,"206-207 Anushri Accolade 2, Above Flavour Restaurant, Besides Connplex Opps, Fortune Hub, Science City Rd, near Shell Petrol Pump, Hebatpur, Ahmedabad, Gujarat 380060",23.07969,72.50165,WEST,Multi-Specialty,Science City,CONT_AHD_015,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,11.982431385039995,11.991215692519997
Lifeline Hospital Ranip,+91 99090 12345,"New Ranip Road, Ranip, Ahmedabad, Gujarat 382480",23.0856,72.5689,WEST,Multi-Specialty,Ranip,CONT_AHD_060,Key Influencer,,,0,0,Unaware,,365.0,,0.0,12,11.952791671597115,11.976395835798558
Mamta Hospital,+91 2717 233 333,"Aarohi Arcade, Bopal, Ahmedabad",23.032,72.462,WEST,General,Bopal,CONT_AHD_REAL_266,Growth Catalyst,,,0,0,Unaware,,365.0,,0.0,12,11.935199861474366,11.967599930737183
Shivam Hospital,+91 97240 56789,"Opp. Gayatri Mandir, Ranip, Ahmedabad, Gujarat 382480",23.0792,72.5745,WEST,General Medicine,Ranip,CONT_AHD_061,Peripheral Supporter,,CONT_AHD_061,0,9,Unaware,CONT_AHD_061,263.0,,0.0,11,10.968527172292534,10.984263586146266
Aryav Super Speciality Hospital,+91 85114 51161,"Aryav, Super Speciality Hospital, Science City Rd, opp. Lincoln House, Sola, Ahmedabad, Gujarat 380060",23.07549,72.51322,WEST,Orthopedics,Science City,CONT_AHD_014,Peripheral Supporter,,CONT_AHD_014,1,34,Exploring,CONT_AHD_014,141.0,,0.0,9,9.040761724087778,9.02038086204389
Urban Health Center Chandlodiya,,"Urban helth center, Gayatri Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08505,72.55166,WEST,Primary Care,Chandlodiya,CONT_AHD_035,Peripheral Supporter,,CONT_AHD_035,2,24,Exploring,CONT_AHD_035,110.0,,0.0,9,8.989892197783877,8.994946098891939
Hetvi Hospital,+91 98980 12345,"202, 2nd Floor, Trinity Complex, Science City Road, Sola, Ahmedabad, Gujarat 380060",23.0782,72.5095,WEST,Pediatrics,Science City,CONT_AHD_044,Peripheral Supporter,,CONT_AHD_044,1,21,Exploring,CONT_AHD_044,80.0,CONT_AHD_044,1.0,9,8.459084477312665,8.729542238656332
Samta Clinic,,"Chandlodia, Silver Star, Gota Road, 3GMW+5MH, Silverstar Cross Rd, Chandlodiya, Ahmedabad, Gujarat 382481",23.08295,72.54673,WEST,General Medicine,Chandlodiya,CONT_AHD_033,Peripheral Supporter,,CONT_AHD_033,0,26,Unaware,CONT_AHD_033,49.0,CONT_AHD_033,2.0,7,7.164087317925945,7.082043658962973
Ashirvad Hospital,+91 88664 29795,"B 302, 3rd Floor, Shaligram Lakeview Commercial Nr, Vaishnodevi Cir, Ahmedabad, Gujarat 382501",23.13584,72.54998,WEST,Multi-Specialty,Vaishnodevi,CONT_AHD_018,Silent Referrer,,CONT_AHD_018,0,18,Unaware,CONT_AHD_018,49.0,CONT_AHD_018,7.0,7,7.161297263170502,7.080648631585251
Atulya Superspeciality Hospital,+91 97275 79000,"2nd Floor, Elite Magnum, Bhuyangdev Cross Rd, Vardhmannagar Society, Ghatlodiya, Parul Nagar Society, Ahmedabad, Gujarat 380061",23.05889,72.53824,WEST,Multi-Specialty,Ghatlodiya,CONT_AHD_009,Silent Referrer,,CONT_AHD_009,0,14,Unaware,CONT_AHD_009,19.0,CONT_AHD_009,2.0,7,7.15477897716647,7.0773894885832345
Divya Children Hospital,+91 98250 88990,"1st Floor, Rudra Complex, Naranpura Cross Road, Naranpura, Ahmedabad, Gujarat 380013",23.0521,72.5534,WEST,Pediatrics,Naranpura,CONT_AHD_070,Silent Referrer,,CONT_AHD_070,0,11,Unaware,CONT_AHD_070,19.0,CONT_AHD_070,2.0,7,7.053427776335139,7.02671388816757
Samarth Hospital,+91 99250 25250,"301, 3rd Floor, Shivalik Plaza, IIM Road, Near Panjrapole, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06788,72.53812,WEST,Orthopedics,Ghatlodiya,CONT_AHD_040,Peripheral Supporter,,CONT_AHD_040,0,4,Unaware,CONT_AHD_040,19.0,CONT_AHD_040,3.0,7,7.038960078446639,7.019480039223319
Krisha Hospital,+91 75677 63301,"B-201, 2nd Floor, Shaligram Lakeview, Nr Vaishnodevi Circle, S.P. Ring Road, Highway, Service Rd, Vaishnodevi, Zundal, Ahmedabad, Gujarat 382501",23.13587,72.54998,WEST,Multi-Specialty,Vaishnodevi,CONT_AHD_020,Peripheral Supporter,,CONT_AHD_020,0,8,Unaware,CONT_AHD_020,19.0,CONT_AHD_020,6.0,7,6.951993307145863,6.975996653572931
Ravi Children Hospital,+91 79 2644 1111,"1st Floor, Shivalik Plaza, IIM Road, Near Panjrapole, Navrangpura, Ahmedabad, Gujarat 380009",23.03215,72.55289,WEST,Pediatrics,Navrangpura,CONT_AHD_052,Silent Referrer,,CONT_AHD_052,0,12,Unaware,CONT_AHD_052,19.0,CONT_AHD_052,3.0,7,6.90569151054446,6.9528457552722305
ANANTA MULTISPECIALITY HOSPITAL,+91 88660 83555,"416, 418, 4th Floor, Centre Point, New SG Rd, opp. Vrundavan Heights, Gota, Ahmedabad, Gujarat 382470",23.10121,72.54884,WEST,Multi-Specialty,Gota,CONT_AHD_004,Peripheral Supporter,,CONT_AHD_004,40,37,Champion,CONT_AHD_004,110.0,,0.0,6,5.818087697247725,5.909043848623862
Retina Foundation,+91 79 2644 7788,"Near Shahibaug Underbridge, Aska, Near Commerce Six Road, Ahmedabad, Gujarat 380009",23.0412,72.5634,WEST,Ophthalmology,Commerce Six Road,CONT_AHD_079,Key Influencer,info@retinafoundation.com,CONT_AHD_079,1,2,Exploring,CONT_AHD_079,49.0,CONT_AHD_079,7.0,6,5.783368225780549,5.891684112890275
Bodyline Hospitals,+91 79 2662 2222,"Vikas Gruh Road, Paldi, Ahmedabad",23.012,72.558,WEST,Multi-Specialty,Paldi,CONT_AHD_REAL_259,Growth Catalyst,,CONT_AHD_REAL_259,2,2,Exploring,CONT_AHD_REAL_259,19.0,CONT_AHD_REAL_259,3.0,6,5.722370914737821,5.861185457368911
Aum Hospital,+91 98240 56789,"10, Shreenath Park, Opp. Silver Star Mall, Chandlodiya, Ahmedabad, Gujarat 382481",23.0855,72.5472,WEST,General Medicine,Chandlodiya,CONT_AHD_046,Peripheral Supporter,,CONT_AHD_046,1,4,Exploring,CONT_AHD_046,49.0,CONT_AHD_046,2.0,5,5.129641906575898,5.064820953287949
OM CLINIC,+91 97147 31205,"Gayatri Society Rd, Vasantnagar Twp, Vasant Nagar, Ognaj, Ahmedabad, Gujarat 380060",23.11224,72.52373,WEST,General Medicine,Ognaj,CONT_AHD_027,Silent Referrer,,CONT_AHD_027,1,3,Exploring,CONT_AHD_027,19.0,CONT_AHD_027,3.0,5,5.070293557395415,5.035146778697707
Jagdamba Clinic,+91 94270 40023,"25 Dharti 2, Vishvakarma Mandir Road, Momay Nagar, Gayatri Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08706,72.54831,WEST,General Medicine,Chandlodiya,CONT_AHD_025,Silent Referrer,,CONT_AHD_025,3,10,Exploring,CONT_AHD_025,19.0,CONT_AHD_025,1.0,5,5.032669568540214,5.016334784270107
Marengo CIMS Hospital,+91 79 2771 2771,"Science City Road, Sola, Ahmedabad",23.07,72.52,WEST,Multi-Specialty,Sola,CONT_AHD_REAL_255,Growth Catalyst,,CONT_AHD_REAL_255,0,5,Unaware,CONT_AHD_REAL_255,19.0,CONT_AHD_REAL_255,3.0,5,4.9977734702779735,4.998886735138987
Shalby Hospital SG,+91 79 4020 3000,"SG Highway, Ramdevnagar, Ahmedabad",23.02,72.51,WEST,Orthopedics,Satellite,CONT_AHD_REAL_256,Growth Catalyst,,CONT_AHD_REAL_256,0,15,Unaware,CONT_AHD_REAL_256,49.0,CONT_AHD_REAL_256,2.0,5,4.955470683629787,4.977735341814894
Pratham Clinic,+91 97250 12345,"Shop No 5, Vasant Nagar Township, Ognaj, Ahmedabad, Gujarat 380060",23.1115,72.5221,WEST,General Medicine,Ognaj,CONT_AHD_048,Peripheral Supporter,,CONT_AHD_048,1,25,Exploring,CONT_AHD_048,19.0,CONT_AHD_048,4.0,5,4.9545666460648246,4.977283323032412
Sai Clinic,+91 94264 86223,"6, Kalash Residency, Chandlodia, opp. Silver Star Mall, Shivshakti Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08264,72.54443,WEST,General Medicine,Chandlodiya,CONT_AHD_024,Peripheral Supporter,,CONT_AHD_024,1,19,Exploring,CONT_AHD_024,19.0,CONT_AHD_024,5.0,5,4.934013641795172,4.967006820897586
Akshat Hospital,+91 94280 66778,"202, Shanti Arcade, Opp. Jaymangal BRTS, Vadaj, Ahmedabad, Gujarat 380013",23.0612,72.5589,WEST,Orthopedics,Vadaj,CONT_AHD_074,Peripheral Supporter,,CONT_AHD_074,2,4,Exploring,CONT_AHD_074,19.0,CONT_AHD_074,2.0,5,4.920512959405876,4.960256479702938
Madhuram Hospital,+91 94263 65987,"A/201, Shayona Shikhar, Near Vandematram City, Ghatlodiya, Ahmedabad, Gujarat 380061",23.0721,72.5412,WEST,General Medicine,Ghatlodiya,CONT_AHD_041,Silent Referrer,,CONT_AHD_041,2,18,Exploring,CONT_AHD_041,19.0,CONT_AHD_041,5.0,5,4.850922712790297,4.925461356395148
Hope Hospital,+91 99099 55667,"Near Ankur Bus Stop, Ankur Road, Naranpura, Ahmedabad, Gujarat 380013",23.0505,72.5518,WEST,General Medicine,Naranpura,CONT_AHD_071,Peripheral Supporter,,CONT_AHD_071,36,2,Champion,CONT_AHD_071,19.0,CONT_AHD_071,3.0,5,4.791837328526188,4.895918664263094
Shreeji Clinic,+91 83474 74713,"Shop No-4, Corus Exotica Complex, opp. Bank Of Baroda, Chandlodiya, Ahmedabad, Gujarat 382481",23.08309,72.54358,WEST,General Medicine,Chandlodiya,CONT_AHD_034,Silent Referrer,,CONT_AHD_034,39,1,Champion,CONT_AHD_034,19.0,CONT_AHD_034,11.0,5,4.737142488459812,4.868571244229906
CIMS Hospital (City Center),+91 79 2755 8000,"Near Shreyas Railway Crossing, Next to Aghoma, Navrangpura, Ahmedabad, Gujarat 380009",23.03512,72.5589,WEST,Multi-Specialty,Navrangpura,CONT_AHD_067,Peripheral Supporter,info@cims.org,CONT_AHD_067,3,16,Exploring,CONT_AHD_067,19.0,CONT_AHD_067,11.0,5,4.714722603707164,4.857361301853582
Lions Karnavati Eye Hospital,+91 81605 97186,"4GF3+2RX, Ognaj, Ahmedabad, Gujarat 380060",23.12262,72.50462,WEST,Ophthalmology,Ognaj,CONT_AHD_032,Key Influencer,,CONT_AHD_032,36,5,Champion,CONT_AHD_032,233.0,,0.0,4,4.125916687810307,4.062958343905153
Life Care Hospital,+91 2717 232 323,"Nr Kabir Enclave, Bopal, Ahmedabad",23.03,72.46,WEST,Multi-Specialty,Bopal,CONT_AHD_REAL_265,Growth Catalyst,,CONT_AHD_REAL_265,24,36,Champion,CONT_AHD_REAL_265,141.0,,0.0,4,4.109686529890887,4.054843264945443
Vijay Shalby Hospital,+91 79 2790 0451,"Opp. H.L. Commerce College, Vijay Cross Road, Navrangpura, Ahmedabad, Gujarat 380009",23.03956,72.55432,WEST,Orthopedics,Navrangpura,CONT_AHD_065,Key Influencer,info.vijay@shalby.org,CONT_AHD_065,1,9,Exploring,CONT_AHD_065,19.0,CONT_AHD_065,2.0,3,3.126799377198016,3.063399688599008
Sushrusha Hospital,+91 79 2646 2200,"Opp. Sardar Patel Seva Samaj, Navrangpura, Ahmedabad, Gujarat 380009",23.03651,72.56324,WEST,Multi-Specialty,Navrangpura,CONT_AHD_050,Key Influencer,info@sushrusha.com,CONT_AHD_050,3,18,Exploring,CONT_AHD_050,19.0,CONT_AHD_050,2.0,3,3.0768107640873947,3.038405382043697
KD Hospital,+91 79 6677 0000,"Vaishnodevi Circle, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382501",23.13557,72.54177,WEST,Multi-Specialty,Vaishnodevi,CONT_AHD_016,Key Influencer,,CONT_AHD_016,2,18,Exploring,CONT_AHD_016,19.0,CONT_AHD_016,5.0,3,3.0557178779284375,3.0278589389642185
Parekhs Hospital,+91 79 2644 5566,"Shyamal Row House, Near Shyamal Cross Road, Satellite (Branch in Navrangpura near CG Rd), Navrangpura, Ahmedabad, Gujarat 380009",23.03345,72.55988,WEST,Multi-Specialty,Navrangpura,CONT_AHD_068,Key Influencer,parekhshospital@gmail.com,CONT_AHD_068,3,24,Exploring,CONT_AHD_068,19.0,CONT_AHD_068,6.0,3,3.041510675018462,3.020755337509231
Jyoti Hospital,+91 99091 66657,"B-4, 7, 1st Floor, Galaxy Signature, 1, Science City Rd, Opposite Sukan Bunglows, Sola, Ahmedabad, Gujarat 380060",23.07727,72.50688,WEST,Multi-Specialty,Science City,CONT_AHD_012,Growth Catalyst,,CONT_AHD_012,1,9,Exploring,CONT_AHD_012,49.0,CONT_AHD_012,3.0,3,3.0355861990243094,3.0177930995121547
Madhav Clinic Ognaj,+91 93137 87049,"Ognaj, Ahmedabad, Gujarat 380060",23.1154,72.51516,WEST,General Medicine,Ognaj,CONT_AHD_026,Growth Catalyst,,CONT_AHD_026,3,24,Exploring,CONT_AHD_026,19.0,CONT_AHD_026,12.0,3,3.0287479235224337,3.014373961761217
Agrawal Multispeciality Hospital,+91 99099 22266,"1st Floor, Shayona Arcade, Opp. Shayona City, Ghatlodia - Gota Rd, Gota, Ahmedabad, Gujarat 382481",23.09033,72.54512,WEST,Multi-Specialty,Gota,CONT_AHD_036,Growth Catalyst,agrawalhospital@gmail.com,CONT_AHD_036,2,4,Exploring,CONT_AHD_036,19.0,CONT_AHD_036,9.0,3,3.0286581405761974,3.014329070288099
Apollo Hospitals City Centre,+91 79 2665 1234,"Nr Parimal Crossing, Paldi, Ahmedabad",23.01,72.56,WEST,Multi-Specialty,Paldi,CONT_AHD_REAL_258,Growth Catalyst,,CONT_AHD_REAL_258,29,1,Champion,CONT_AHD_REAL_258,19.0,CONT_AHD_REAL_258,10.0,3,3.025147482186072,3.012573741093036
Shailya Hospital,+91 99099 77888,"4th Floor, Magnifico, Opp. Sukan Mall, Science City Road, Sola, Ahmedabad, Gujarat 380060",23.0765,72.5121,WEST,Multi-Specialty,Science City,CONT_AHD_043,Growth Catalyst,info@shailyahospital.com,CONT_AHD_043,2,38,Exploring,CONT_AHD_043,19.0,CONT_AHD_043,3.0,3,3.0132634077541787,3.0066317038770896
Adwait Multispeciality Hospital,+91 81402 34111,"Bhavya Complex, Bopal, Ahmedabad",23.035,72.465,WEST,Multi-Specialty,Bopal,CONT_AHD_REAL_267,Growth Catalyst,,CONT_AHD_REAL_267,1,28,Exploring,CONT_AHD_REAL_267,49.0,CONT_AHD_REAL_267,5.0,3,3.0103729309753797,3.00518646548769
Kapan Hospital,+91 79 2752 4455,"Near GST Crossing, New Ranip, Ranip, Ahmedabad, Gujarat 382480",23.0889,72.5712,WEST,Surgery,Ranip,CONT_AHD_076,Key Influencer,,CONT_AHD_076,1,11,Exploring,CONT_AHD_076,19.0,CONT_AHD_076,7.0,3,2.9851671451429946,2.9925835725714975
SGVP Holistic Hospital,+91 95122 00122,"SGVP Campus, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382481",23.13251,72.53989,WEST,Multi-Specialty,Vaishnodevi,CONT_AHD_017,Growth Catalyst,,CONT_AHD_017,2,31,Exploring,CONT_AHD_017,19.0,CONT_AHD_017,3.0,3,2.9597989510943767,2.9798994755471884
HCG Hospital,+91 79 4041 0101,"Mithakhali Six Road, Ellisbridge, Ahmedabad",23.03,72.56,WEST,Oncology,Ellisbridge,CONT_AHD_REAL_254,Growth Catalyst,,CONT_AHD_REAL_254,3,7,Exploring,CONT_AHD_REAL_254,19.0,CONT_AHD_REAL_254,6.0,3,2.9594995259466366,2.9797497629733183
Swarg Community Care,+91 70160 00760,"Plot 119, Lane 12, Greenwood phase 1, Garden City Road, Sardar Patel Ring Rd, opposite Shakti Hotel, near Vaishnav Devi Circle, Ognaj, Ahmedabad, Lilapur, Gujarat 380060",23.13985,72.52455,WEST,Nursing Home,Ognaj,CONT_AHD_031,Growth Catalyst,,CONT_AHD_031,1,12,Exploring,CONT_AHD_031,49.0,CONT_AHD_031,3.0,3,2.947791145367119,2.9738955726835594
Zydus Hospital,+91 79 6619 0000,"Thaltej Hebatpur Road, Ahmedabad",23.06,72.51,WEST,Multi-Specialty,Thaltej,CONT_AHD_REAL_263,Growth Catalyst,,CONT_AHD_REAL_263,30,1,Champion,CONT_AHD_REAL_263,49.0,CONT_AHD_REAL_263,1.0,3,2.9430894391060787,2.971544719553039
Devarshi Super Speciality Hospital,+91 79 2749 5544,"3rd Floor, Shukan Mall, Near CIMS, Naranpura, Ahmedabad, Gujarat 380013",23.0567,72.5492,WEST,Multi-Specialty,Naranpura,CONT_AHD_069,Growth Catalyst,info@devarshihospital.com,CONT_AHD_069,3,16,Exploring,CONT_AHD_069,19.0,CONT_AHD_069,3.0,3,2.9339081072925355,2.9669540536462677
Civil Hospital Sola,+91 79 2766 1111,"Sola, SG Highway, Ahmedabad",23.08,72.52,WEST,Government,Sola,CONT_AHD_REAL_270,Growth Catalyst,,CONT_AHD_REAL_270,1,18,Exploring,CONT_AHD_REAL_270,19.0,CONT_AHD_REAL_270,5.0,3,2.888669244102609,2.9443346220513043
Ratan Hospital,+91 79 2640 4040,"Ashirwad Complex, Near Swastik Cross Road, C.G. Road, Navrangpura, Ahmedabad, Gujarat 380009",23.03688,72.56122,WEST,Gynecology,Navrangpura,CONT_AHD_066,Growth Catalyst,ratanhospital@gmail.com,CONT_AHD_066,2,13,Exploring,CONT_AHD_066,19.0,CONT_AHD_066,11.0,3,2.8382148292912146,2.919107414645607
KD Hospital,+91 79 6677 0000,"Vaishno Devi Circle, SG Highway, Ahmedabad",23.1,72.53,WEST,Multi-Specialty,SG Highway,CONT_AHD_REAL_264,Growth Catalyst,,CONT_AHD_REAL_264,27,2,Champion,CONT_AHD_REAL_264,19.0,CONT_AHD_REAL_264,5.0,3,2.7770357607482943,2.888517880374147
Samarpan Hospital,+91 98240 33445,"Opp. Radhe Kishan Row House, Ranip, Ahmedabad, Gujarat 382480",23.0823,72.5734,WEST,Multi-Specialty,Ranip,CONT_AHD_077,Silent Referrer,,CONT_AHD_077,35,25,Champion,CONT_AHD_077,19.0,CONT_AHD_077,13.0,2,2.103750444863225,2.0518752224316126
City Plus Hospital,+91 70462 47247,"Nr. Sola Overbidge, Science City Rd, Sola, Ahmedabad, Gujarat 380060",23.07081,72.52149,WEST,Multi-Specialty,Science City,CONT_AHD_013,Silent Referrer,,CONT_AHD_013,16,4,Champion,CONT_AHD_013,49.0,CONT_AHD_013,2.0,2,2.1035906938809323,2.051795346940466
Sunrise Hospital Gota,+91 63596 35991,"Shayona Tilak, Near Vandematram Arcade Behind Vishwakarma Temple New S G Road, Chandlodiya Rd, Gota, Ahmedabad, Gujarat 382481",23.09917,72.54823,WEST,Multi-Specialty,Gota,CONT_AHD_005,Silent Referrer,,CONT_AHD_005,39,18,Champion,CONT_AHD_005,19.0,CONT_AHD_005,3.0,2,2.0544551002486164,2.027227550124308
