activity_id,mr_id,team,zone,customer_id,customer_status,activity_type,locality,date,start_time,end_time,duration_min,Latitude,Longitude,visit_count,referrals_count,activity_status
ACT_0000016,MR_N1_3,TEAM_W1,WEST,CONT_AHD_025,Key Influencer,Follow-up,Gota,02-12-2025,13:12,13:44,32,23.08706,72.54831,16,30,Complete
ACT_0000017,MR_N1_3,TEAM_S1,SOUTH,CONT_AHD_REAL_246,Growth Catalyst,Negotiation,Commerce Six Road,02-12-2025,13:54,14:12,18,23.038,72.632,9,18,Complete
ACT_0000018,MR_N1_3,TEAM_N2,WEST,CONT_AHD_REAL_221,Silent Referrer,Contract Review,Ghatlodiya,02-12-2025,14:26,14:59,33,22.996,72.605,1,2,Complete
ACT_0000019,MR_N1_3,TEAM_N1,WEST,CONT_AHD_066,Peripheral Supporter,Email,Naranpura,02-12-2025,15:09,15:29,20,23.03688,72.56122,7,1,Complete
ACT_0000020,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_260,Growth Catalyst,Proposal Submission,Maninagar,03-12-2025,09:00,09:28,28,23.005,72.55,3,16,Complete
ACT_0000021,MR_N1_3,TEAM_W2,EAST,CONT_AHD_048,Key Influencer,Negotiation,Gota,03-12-2025,09:36,10:13,37,23.1115,72.5221,27,39,Complete
ACT_0000022,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_024,Silent Referrer,Site Visit,Ognaj,03-12-2025,10:21,10:48,27,23.08264,72.54443,19,1,Complete
ACT_0000023,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_011,Peripheral Supporter,Contract Review,Sola,03-12-2025,11:01,11:17,16,23.07023,72.51691,7,1,Complete
ACT_0000024,MR_N1_3,TEAM_W2,WEST,CONT_AHD_009,Silent Referrer,Site Visit,Ghatlodiya,03-12-2025,11:29,11:55,26,23.05889,72.53824,18,1,Complete
ACT_0000025,MR_N1_3,TEAM_N2,WEST,CONT_AHD_030,Silent Referrer,Email,Ranip,03-12-2025,12:08,12:35,27,23.10997,72.52037,9,2,Complete
ACT_0000026,MR_N1_3,TEAM_N1,WEST,CONT_AHD_056,Key Influencer,Presentation,Ranip,03-12-2025,12:40,12:55,15,23.06345,72.56789,31,31,Complete
ACT_0000027,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_REAL_257,Silent Referrer,Phone Call,Ognaj,03-12-2025,13:09,13:32,23,23.02,72.44,1,1,Complete
ACT_0000028,MR_N1_3,TEAM_S1,SOUTH,CONT_AHD_REAL_264,Key Influencer,Phone Call,Ognaj,03-12-2025,13:42,14:19,37,23.1,72.53,2,27,Complete
ACT_0000029,MR_N1_3,TEAM_W1,WEST,CONT_AHD_030,Growth Catalyst,Contract Review,Naranpura,04-12-2025,09:00,09:34,34,23.10997,72.52037,7,15,Complete
ACT_0000030,MR_N1_3,TEAM_S1,WEST,CONT_AHD_REAL_263,Key Influencer,Meeting,Chandlodiya,04-12-2025,09:49,10:08,19,23.06,72.51,1,30,Complete
ACT_0000031,MR_N1_3,TEAM_W2,WEST,CONT_AHD_REAL_218,Silent Referrer,Contract Review,Ognaj,04-12-2025,10:16,10:50,34,22.998,72.604,15,3,Complete
ACT_0000032,MR_N1_3,TEAM_W2,WEST,CONT_AHD_018,Silent Referrer,Product Demo,Ranip,04-12-2025,11:02,11:23,21,23.13584,72.54998,18,2,Complete
ACT_0000033,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_066,Peripheral Supporter,Meeting,Chandlodiya,04-12-2025,11:29,11:56,27,23.03688,72.56122,30,1,Complete
ACT_0000034,MR_N1_3,TEAM_N1,WEST,CONT_AHD_026,Key Influencer,Site Visit,Ghatlodiya,04-12-2025,12:05,12:25,20,23.1154,72.51516,4,29,Missed
ACT_0000035,MR_N1_3,TEAM_W2,EAST,CONT_AHD_010,Key Influencer,Follow-up,Odhav,04-12-2025,12:39,12:57,18,23.05878,72.53783,7,27,Missed
ACT_0000036,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_260,Growth Catalyst,Negotiation,Ghatlodiya,04-12-2025,13:05,13:40,35,23.005,72.55,11,17,Complete
ACT_0000037,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_044,Silent Referrer,Negotiation,Naranpura,04-12-2025,13:55,14:33,38,23.0782,72.5095,21,1,Complete
ACT_0000038,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_044,Silent Referrer,Contract Review,Naranpura,04-12-2025,14:44,15:02,18,23.0782,72.5095,21,1,Complete
ACT_0000039,MR_N1_3,TEAM_N2,WEST,CONT_AHD_032,Key Influencer,Negotiation,Chandlodiya,05-12-2025,09:00,09:18,18,23.12262,72.50462,5,36,Complete
ACT_0000040,MR_N1_3,TEAM_W2,NORTH,CONT_AHD_REAL_204,Growth Catalyst,Proposal Submission,Vadaj,05-12-2025,09:27,09:58,31,23.062,72.658,7,21,Complete
ACT_0000041,MR_N1_3,TEAM_S1,WEST,CONT_AHD_REAL_218,Peripheral Supporter,Proposal Submission,Vadaj,05-12-2025,10:05,10:26,21,22.998,72.604,12,0,Complete
ACT_0000042,MR_N1_3,TEAM_N1,WEST,CONT_AHD_REAL_202,Peripheral Supporter,Contract Review,Maninagar,05-12-2025,10:33,10:51,18,23.068,72.665,1,1,Complete
ACT_0000043,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_001,Key Influencer,Product Demo,Ognaj,05-12-2025,10:58,11:25,27,23.09677,72.54813,4,27,Complete
ACT_0000044,MR_N1_3,TEAM_N1,WEST,CONT_AHD_REAL_254,Silent Referrer,Proposal Submission,Naranpura,05-12-2025,11:37,12:05,28,23.03,72.56,7,3,Missed
ACT_0000045,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_260,Growth Catalyst,Email,Maninagar,05-12-2025,12:15,12:34,19,23.005,72.55,3,16,Complete
ACT_0000046,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_011,Peripheral Supporter,Negotiation,Sola,08-12-2025,09:00,09:17,17,23.07023,72.51691,7,1,Complete
ACT_0000047,MR_N1_3,TEAM_S1,SOUTH,CONT_AHD_REAL_217,Key Influencer,Product Demo,Ognaj,08-12-2025,09:32,09:58,26,23.065,72.66,2,27,Complete
ACT_0000048,MR_N1_3,TEAM_N1,WEST,CONT_AHD_REAL_215,Silent Referrer,Product Demo,Ghatlodiya,08-12-2025,10:10,10:29,19,23.065,72.67,7,2,Complete
ACT_0000049,MR_N1_3,TEAM_W2,WEST,CONT_AHD_036,Silent Referrer,Contract Review,Ognaj,08-12-2025,10:43,11:22,39,23.09033,72.54512,15,3,Complete
ACT_0000050,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_217,Growth Catalyst,Presentation,Ranip,08-12-2025,11:35,11:52,17,23.065,72.66,1,20,Complete
ACT_0000051,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_238,Peripheral Supporter,Site Visit,Sola,08-12-2025,12:01,12:17,16,23.035,72.645,2,1,Missed
ACT_0000052,MR_N1_3,TEAM_W2,EAST,CONT_AHD_029,Peripheral Supporter,Presentation,Chandlodiya,08-12-2025,12:25,12:51,26,23.11259,72.51556,18,1,Complete
ACT_0000053,MR_N1_3,TEAM_W1,NORTH,CONT_AHD_REAL_238,Peripheral Supporter,Site Visit,Science City,08-12-2025,13:01,13:26,25,23.035,72.645,26,1,Missed
ACT_0000054,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_REAL_244,Silent Referrer,Proposal Submission,Vastral,08-12-2025,13:37,14:04,27,23.022,72.652,3,1,Missed
ACT_0000055,MR_N1_3,TEAM_N1,WEST,CONT_AHD_REAL_202,Peripheral Supporter,Presentation,Maninagar,08-12-2025,14:14,14:32,18,23.068,72.665,1,1,Complete
ACT_0000056,MR_N1_3,TEAM_N2,WEST,CONT_AHD_REAL_270,Silent Referrer,Follow-up,Ghatlodiya,09-12-2025,09:00,09:35,35,23.08,72.52,10,1,Missed
ACT_0000057,MR_N1_3,TEAM_N2,WEST,CONT_AHD_046,Growth Catalyst,Proposal Submission,Ognaj,09-12-2025,09:48,10:12,24,23.0855,72.5472,8,24,Complete
ACT_0000058,MR_N1_3,TEAM_N1,WEST,CONT_AHD_010,Silent Referrer,Follow-up,Science City,09-12-2025,10:19,10:40,21,23.05878,72.53783,23,2,Complete
ACT_0000059,MR_N1_3,TEAM_W2,EAST,CONT_AHD_076,Key Influencer,Presentation,Chandlodiya,09-12-2025,10:45,11:01,16,23.0889,72.5712,14,27,Complete
ACT_0000060,MR_N1_3,TEAM_W2,EAST,CONT_AHD_071,Silent Referrer,Proposal Submission,Ghatlodiya,09-12-2025,11:13,11:31,18,23.0505,72.5518,9,1,Complete
ACT_0000061,MR_N1_3,TEAM_W1,NORTH,CONT_AHD_036,Silent Referrer,Meeting,Navrangpura,09-12-2025,11:44,12:10,26,23.09033,72.54512,34,1,Complete
ACT_0000062,MR_N1_3,TEAM_W2,EAST,CONT_AHD_006,Silent Referrer,Presentation,Naranpura,09-12-2025,12:18,12:57,39,23.06863,72.5423,31,2,Complete
ACT_0000063,MR_N1_3,TEAM_N1,WEST,CONT_AHD_001,Key Influencer,Presentation,Ranip,09-12-2025,13:02,13:40,38,23.09677,72.54813,30,31,Complete
ACT_0000064,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_045,Growth Catalyst,Follow-up,Naroda,09-12-2025,13:53,14:18,25,23.084,72.5455,8,17,Complete
ACT_0000065,MR_N1_3,TEAM_W2,WEST,CONT_AHD_033,Key Influencer,Meeting,Navrangpura,09-12-2025,14:30,14:53,23,23.08295,72.54673,16,26,Complete
ACT_0000066,MR_N1_3,TEAM_S1,WEST,CONT_AHD_056,Growth Catalyst,Negotiation,Gota,10-12-2025,09:00,09:40,40,23.06345,72.56789,6,20,Complete
ACT_0000067,MR_N1_3,TEAM_S1,WEST,CONT_AHD_REAL_251,Silent Referrer,Phone Call,Navrangpura,10-12-2025,09:52,10:20,28,23.03,72.61,5,3,Complete
ACT_0000068,MR_N1_3,TEAM_S1,WEST,CONT_AHD_REAL_229,Key Influencer,Meeting,Ognaj,10-12-2025,10:26,11:05,39,22.984,72.611,25,32,Complete
ACT_0000069,MR_N1_3,TEAM_W2,WEST,CONT_AHD_012,Silent Referrer,Email,Ghatlodiya,10-12-2025,11:18,11:34,16,23.07727,72.50688,9,1,Complete
ACT_0000070,MR_N1_3,TEAM_N2,WEST,CONT_AHD_026,Silent Referrer,Email,Naranpura,10-12-2025,11:45,12:13,28,23.1154,72.51516,24,3,Missed
ACT_0000071,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_267,Silent Referrer,Product Demo,Navrangpura,10-12-2025,12:27,12:48,21,23.035,72.465,28,1,Complete
ACT_0000072,MR_N1_3,TEAM_N2,WEST,CONT_AHD_REAL_270,Silent Referrer,Site Visit,Naranpura,10-12-2025,12:57,13:25,28,23.08,72.52,18,1,Complete
ACT_0000073,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_029,Key Influencer,Product Demo,Ranip,10-12-2025,13:37,13:56,19,23.11259,72.51556,47,36,Complete
ACT_0000074,MR_N1_3,TEAM_W1,WEST,CONT_AHD_019,Growth Catalyst,Contract Review,Vadaj,10-12-2025,14:08,14:43,35,23.13574,72.5416,21,17,Complete
ACT_0000075,MR_N1_3,TEAM_W1,WEST,CONT_AHD_REAL_248,Peripheral Supporter,Site Visit,Vadaj,11-12-2025,09:00,09:30,30,23.041,72.633,26,1,Complete
ACT_0000076,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_001,Key Influencer,Contract Review,Ognaj,11-12-2025,09:38,10:00,22,23.09677,72.54813,4,27,Complete
ACT_0000077,MR_N1_3,TEAM_W2,EAST,CONT_AHD_034,Key Influencer,Product Demo,Maninagar,11-12-2025,10:13,10:32,19,23.08309,72.54358,1,39,Complete
ACT_0000078,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_067,Key Influencer,Product Demo,Chandlodiya,11-12-2025,10:46,11:08,22,23.03512,72.5589,27,27,Complete
ACT_0000079,MR_N1_3,TEAM_W2,NORTH,CONT_AHD_REAL_228,Key Influencer,Phone Call,Gota,11-12-2025,11:15,11:34,19,22.986,72.612,3,25,Complete
ACT_0000080,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_045,Growth Catalyst,Presentation,Naroda,11-12-2025,11:40,12:12,32,23.084,72.5455,8,17,Complete
ACT_0000081,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_REAL_268,Growth Catalyst,Meeting,Ognaj,11-12-2025,12:24,12:41,17,23.028,72.458,4,15,Missed
ACT_0000082,MR_N1_3,TEAM_N1,WEST,CONT_AHD_029,Key Influencer,Negotiation,Navrangpura,12-12-2025,09:00,09:20,20,23.11259,72.51556,1,39,Complete
ACT_0000083,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_260,Growth Catalyst,Contract Review,Ghatlodiya,12-12-2025,09:29,09:56,27,23.005,72.55,11,17,Complete
ACT_0000084,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_257,Growth Catalyst,Email,Ranip,12-12-2025,10:02,10:26,24,23.02,72.44,16,17,Complete
ACT_0000085,MR_N1_3,TEAM_N1,WEST,CONT_AHD_026,Key Influencer,Site Visit,Ghatlodiya,12-12-2025,10:40,11:16,36,23.1154,72.51516,4,29,Complete
ACT_0000086,MR_N1_3,TEAM_S1,WEST,CONT_AHD_056,Growth Catalyst,Follow-up,Gota,12-12-2025,11:24,12:03,39,23.06345,72.56789,6,20,Complete
ACT_0000087,MR_N1_3,TEAM_W2,EAST,CONT_AHD_006,Growth Catalyst,Email,Ranip,12-12-2025,12:15,12:52,37,23.06863,72.5423,3,16,Complete
ACT_0000088,MR_N1_3,TEAM_W2,NORTH,CONT_AHD_026,Silent Referrer,Site Visit,Navrangpura,12-12-2025,13:03,13:19,16,23.1154,72.51516,15,3,Complete
ACT_0000089,MR_N1_3,TEAM_W2,EAST,CONT_AHD_065,Silent Referrer,Phone Call,Ghatlodiya,12-12-2025,13:31,14:05,34,23.03956,72.55432,9,1,Missed
ACT_0000090,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_257,Key Influencer,Proposal Submission,Navrangpura,12-12-2025,14:20,14:54,34,23.02,72.44,4,32,Complete
ACT_0000091,MR_N1_3,TEAM_W2,WEST,CONT_AHD_018,Growth Catalyst,Contract Review,Maninagar,15-12-2025,09:00,09:18,18,23.13584,72.54998,2,18,Complete
ACT_0000092,MR_N1_3,TEAM_W1,WEST,CONT_AHD_030,Growth Catalyst,Presentation,Naranpura,15-12-2025,09:23,10:02,39,23.10997,72.52037,7,15,Complete
ACT_0000093,MR_N1_3,TEAM_S1,WEST,CONT_AHD_REAL_235,Growth Catalyst,Follow-up,Commerce Six Road,15-12-2025,10:17,10:38,21,22.96,72.62,24,24,Complete
ACT_0000094,MR_N1_3,TEAM_N1,WEST,CONT_AHD_069,Silent Referrer,Presentation,Ranip,15-12-2025,10:43,11:11,28,23.0567,72.5492,16,3,Complete
ACT_0000095,MR_N1_3,TEAM_W2,EAST,CONT_AHD_034,Key Influencer,Site Visit,Maninagar,15-12-2025,11:23,11:38,15,23.08309,72.54358,1,39,Complete
ACT_0000096,MR_N1_3,TEAM_N2,WEST,CONT_AHD_001,Silent Referrer,Email,Navrangpura,15-12-2025,11:43,12:20,37,23.09677,72.54813,10,2,Complete
ACT_0000097,MR_N1_3,TEAM_W2,EAST,CONT_AHD_006,Silent Referrer,Negotiation,Naranpura,15-12-2025,12:35,13:15,40,23.06863,72.5423,31,2,Complete
ACT_0000098,MR_N1_3,TEAM_N1,WEST,CONT_AHD_029,Key Influencer,Contract Review,Navrangpura,15-12-2025,13:21,13:39,18,23.11259,72.51556,1,39,Complete
ACT_0000099,MR_N1_3,TEAM_W2,NORTH,CONT_AHD_065,Growth Catalyst,Phone Call,Science City,16-12-2025,09:00,09:34,34,23.03956,72.55432,3,15,Complete
ACT_0000100,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_REAL_255,Peripheral Supporter,Negotiation,Ellisbridge,16-12-2025,09:39,09:59,20,23.07,72.52,3,1,Complete
ACT_0000101,MR_N1_3,TEAM_W1,WEST,CONT_AHD_077,Silent Referrer,Negotiation,Vastral,16-12-2025,10:06,10:41,35,23.0823,72.5734,3,1,Complete
ACT_0000102,MR_N1_3,TEAM_N1,WEST,CONT_AHD_066,Peripheral Supporter,Site Visit,Naranpura,16-12-2025,10:52,11:09,17,23.03688,72.56122,7,1,Complete
ACT_0000103,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_052,Silent Referrer,Product Demo,Chandlodiya,16-12-2025,11:20,11:54,34,23.03215,72.55289,23,1,Complete
ACT_0000104,MR_N1_3,TEAM_W2,WEST,CONT_AHD_078,Silent Referrer,Product Demo,Naranpura,16-12-2025,12:07,12:24,17,23.0765,72.5698,33,3,Complete
ACT_0000105,MR_N1_3,TEAM_N1,WEST,CONT_AHD_066,Peripheral Supporter,Product Demo,Naranpura,16-12-2025,12:30,13:07,37,23.03688,72.56122,7,1,Missed
ACT_0000106,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_070,Peripheral Supporter,Email,Vaishnodevi,16-12-2025,13:15,13:35,20,23.0521,72.5534,11,0,Complete
ACT_0000107,MR_N1_3,TEAM_S1,SOUTH,CONT_AHD_REAL_246,Growth Catalyst,Negotiation,Commerce Six Road,17-12-2025,09:00,09:40,40,23.038,72.632,9,18,Complete
ACT_0000108,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_234,Peripheral Supporter,Phone Call,Vadaj,17-12-2025,09:50,10:17,27,22.9905,72.6005,30,1,Complete
ACT_0000109,MR_N1_3,TEAM_W2,EAST,CONT_AHD_REAL_209,Growth Catalyst,Email,Gota,17-12-2025,10:32,11:06,34,23.056,72.642,17,25,Complete
ACT_0000110,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_001,Key Influencer,Site Visit,Ognaj,17-12-2025,11:13,11:50,37,23.09677,72.54813,4,27,Complete
ACT_0000111,MR_N1_3,TEAM_W2,EAST,CONT_AHD_023,Growth Catalyst,Proposal Submission,Ranip,17-12-2025,11:58,12:20,22,23.08279,72.54683,14,23,Complete
ACT_0000112,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_069,Silent Referrer,Phone Call,Vastral,17-12-2025,12:27,13:03,36,23.0567,72.5492,4,1,Complete
ACT_0000113,MR_N1_3,TEAM_W2,WEST,CONT_AHD_REAL_218,Silent Referrer,Follow-up,Ognaj,17-12-2025,13:09,13:30,21,22.998,72.604,15,3,Missed
ACT_0000114,MR_N1_3,TEAM_W2,EAST,CONT_AHD_REAL_258,Peripheral Supporter,Meeting,Sola,17-12-2025,13:43,14:21,38,23.01,72.56,8,0,Complete
ACT_0000115,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_258,Key Influencer,Follow-up,Ognaj,18-12-2025,09:00,09:33,33,23.01,72.56,1,29,Complete
ACT_0000116,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_205,Growth Catalyst,Product Demo,Bapunagar,18-12-2025,09:40,10:08,28,23.072,72.668,4,16,Missed
ACT_0000117,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_234,Peripheral Supporter,Follow-up,Vadaj,18-12-2025,10:19,10:39,20,22.9905,72.6005,30,1,Complete
ACT_0000118,MR_N1_3,TEAM_W2,EAST,CONT_AHD_057,Key Influencer,Negotiation,Commerce Six Road,18-12-2025,10:47,11:11,24,23.0598,72.5592,2,39,Complete
ACT_0000119,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_018,Peripheral Supporter,Product Demo,Vaishnodevi,18-12-2025,11:19,11:55,36,23.13584,72.54998,18,0,Missed
ACT_0000120,MR_N1_3,TEAM_W2,EAST,CONT_AHD_076,Silent Referrer,Negotiation,Ranip,18-12-2025,12:08,12:27,19,23.0889,72.5712,8,2,Complete
ACT_0000121,MR_N1_3,TEAM_N1,WEST,CONT_AHD_REAL_254,Silent Referrer,Proposal Submission,Naranpura,18-12-2025,12:40,13:01,21,23.03,72.56,7,3,Complete
ACT_0000122,MR_N1_3,TEAM_S1,WEST,CONT_AHD_REAL_237,Silent Referrer,Contract Review,Ranip,18-12-2025,13:12,13:44,32,23.03,72.66,23,2,Missed
ACT_0000123,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_234,Growth Catalyst,Phone Call,Chandlodiya,18-12-2025,13:56,14:12,16,22.9905,72.6005,1,17,Complete
ACT_0000124,MR_N1_3,TEAM_N2,SOUTH,CONT_AHD_REAL_255,Peripheral Supporter,Phone Call,Ellisbridge,19-12-2025,09:00,09:37,37,23.07,72.52,3,1,Complete
ACT_0000125,MR_N1_3,TEAM_W2,EAST,CONT_AHD_REAL_246,Peripheral Supporter,Phone Call,Vaishnodevi,19-12-2025,09:46,10:17,31,23.038,72.632,18,0,Complete
ACT_0000126,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_200,Key Influencer,Negotiation,Ghatlodiya,19-12-2025,10:27,10:43,16,23.07,72.663,4,27,Complete
ACT_0000127,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_REAL_244,Silent Referrer,Contract Review,Naranpura,19-12-2025,10:53,11:33,40,23.022,72.652,6,3,Complete
ACT_0000128,MR_N1_3,TEAM_N2,WEST,CONT_AHD_REAL_258,Key Influencer,Presentation,Ognaj,19-12-2025,11:42,12:17,35,23.01,72.56,12,40,Missed
ACT_0000129,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_206,Silent Referrer,Negotiation,Gota,19-12-2025,12:29,12:57,28,23.06,72.65,14,1,Complete
ACT_0000130,MR_N1_3,TEAM_N1,WEST,CONT_AHD_REAL_234,Silent Referrer,Meeting,Science City,19-12-2025,13:12,13:47,35,22.9905,72.6005,26,1,Complete
ACT_0000131,MR_N1_3,TEAM_E1,NORTH,CONT_AHD_REAL_267,Silent Referrer,Meeting,Thaltej,19-12-2025,13:56,14:15,19,23.035,72.465,10,1,Complete
ACT_0000132,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_233,Key Influencer,Product Demo,Ognaj,22-12-2025,09:00,09:15,15,22.9985,72.6055,3,26,Complete
ACT_0000133,MR_N1_3,TEAM_W2,EAST,CONT_AHD_REAL_263,Growth Catalyst,Email,Ranip,22-12-2025,09:28,09:46,18,23.06,72.51,3,16,Complete
ACT_0000134,MR_N1_3,TEAM_S1,SOUTH,CONT_AHD_005,Key Influencer,Proposal Submission,Navrangpura,22-12-2025,10:01,10:33,32,23.09917,72.54823,18,39,Complete
ACT_0000135,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_203,Peripheral Supporter,Meeting,Vaishnodevi,22-12-2025,10:43,11:15,32,23.065,72.66,27,0,Missed
ACT_0000136,MR_N1_3,TEAM_W2,WEST,CONT_AHD_012,Silent Referrer,Proposal Submission,Ghatlodiya,22-12-2025,11:22,11:53,31,23.07727,72.50688,9,1,Complete
ACT_0000137,MR_N1_3,TEAM_W1,NORTH,CONT_AHD_066,Growth Catalyst,Meeting,Naranpura,22-12-2025,12:03,12:27,24,23.03688,72.56122,26,25,Complete
ACT_0000138,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_231,Key Influencer,Phone Call,Ognaj,22-12-2025,12:36,13:02,26,22.98,72.601,26,28,Complete
ACT_0000139,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_013,Growth Catalyst,Meeting,Bapunagar,22-12-2025,13:14,13:51,37,23.07081,72.52149,4,16,Complete
ACT_0000140,MR_N1_3,TEAM_S1,NORTH,CONT_AHD_011,Peripheral Supporter,Meeting,Sola,22-12-2025,13:56,14:26,30,23.07023,72.51691,7,1,Missed
ACT_0000141,MR_N1_3,TEAM_W2,EAST,CONT_AHD_REAL_242,Growth Catalyst,Contract Review,Bapunagar,23-12-2025,09:00,09:27,27,23.002,72.646,4,17,Missed
ACT_0000142,MR_N1_3,TEAM_W2,EAST,CONT_AHD_067,Silent Referrer,Email,Ghatlodiya,23-12-2025,09:32,10:08,36,23.03512,72.5589,16,3,Complete
ACT_0000143,MR_N1_3,TEAM_S1,SOUTH,CONT_AHD_078,Growth Catalyst,Product Demo,Bopal,23-12-2025,10:13,10:28,15,23.0765,72.5698,5,18,Complete
ACT_0000144,MR_N1_3,TEAM_W1,WEST,CONT_AHD_020,Key Influencer,Meeting,Ghatlodiya,23-12-2025,10:33,11:00,27,23.13587,72.54998,10,31,Complete
ACT_0000145,MR_N1_3,TEAM_E1,SOUTH,CONT_AHD_REAL_260,Growth Catalyst,Phone Call,Maninagar,23-12-2025,11:15,11:36,21,23.005,72.55,3,16,Complete
