Contact_name,ph_no,Address,Latitude,Longitude,Zone,Speciality,Locality,Contact_id,Segment,Contact_email
Marengo CIMS Hospital,+91 1800 309 9999,"Off, Science City Rd, Panchamrut Bunglows II, Sola, Ahmedabad, Gujarat 380060",23.07023,72.51691,West,Multi-Specialty,Science City,CONT_AHD_011,Key Influencer,
Jyoti Hospital,+91 99091 66657,"B-4, 7, 1st Floor, Galaxy Signature, 1, Science City Rd, Opposite Sukan Bunglows, Sola, Ahmedabad, Gujarat 380060",23.07727,72.50688,West,Multi-Specialty,Science City,CONT_AHD_012,Growth Catalyst,
City Plus Hospital,+91 70462 47247,"Nr. Sola Overbidge, Science City Rd, Sola, Ahmedabad, Gujarat 380060",23.07081,72.52149,West,Multi-Specialty,Science City,CONT_AHD_013,Silent Referrer,
Aryav Super Speciality Hospital,+91 85114 51161,"Aryav, Super Speciality Hospital, Science City Rd, opp. Lincoln House, Sola, Ahmedabad, Gujarat 380060",23.07549,72.51322,West,Orthopedics,Science City,CONT_AHD_014,Peripheral Supporter,
Mediheal Hospital,+91 75673 61000,"206-207 Anushri Accolade 2, Above Flavour Restaurant, Besides Connplex Opps, Fortune Hub, Science City Rd, near Shell Petrol Pump, Hebatpur, Ahmedabad, Gujarat 380060",23.07969,72.50165,West,Multi-Specialty,Science City,CONT_AHD_015,Growth Catalyst,
KD Hospital,+91 79 6677 0000,"Vaishnodevi Circle, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382501",23.13557,72.54177,West,Multi-Specialty,Vaishnodevi,CONT_AHD_016,Key Influencer,
SGVP Holistic Hospital,+91 95122 00122,"SGVP Campus, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382481",23.13251,72.53989,West,Multi-Specialty,Vaishnodevi,CONT_AHD_017,Growth Catalyst,
Ashirvad Hospital,+91 88664 29795,"B 302, 3rd Floor, Shaligram Lakeview Commercial Nr, Vaishnodevi Cir, Ahmedabad, Gujarat 382501",23.13584,72.54998,West,Multi-Specialty,Vaishnodevi,CONT_AHD_018,Silent Referrer,
KD Blossom,+91 79 6677 0000,"Vaishnodevi Circle, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382501",23.13574,72.5416,West,Multi-Specialty,Vaishnodevi,CONT_AHD_019,Key Influencer,
Krisha Hospital,+91 75677 63301,"B-201, 2nd Floor, Shaligram Lakeview, Nr Vaishnodevi Circle, S.P. Ring Road, Highway, Service Rd, Vaishnodevi, Zundal, Ahmedabad, Gujarat 382501",23.13587,72.54998,West,Multi-Specialty,Vaishnodevi,CONT_AHD_020,Peripheral Supporter,
Arihant Hospital,+91 79 2760 5620,"Nar Ghanshyam Complex, Ghansyam Nagar Part 2, Gayatri Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08005,72.55206,West,Multi-Specialty,Chandlodiya,CONT_AHD_021,Growth Catalyst,
Span ICU and Multispeciality Hospital,+91 94284 11428,"607-612, Shlok Infinity, opp. Vishwakarma Temple, Tower, Chandlodiya, Ahmedabad, Gujarat 382481",23.0867,72.54276,West,Multi-Specialty,Chandlodiya,CONT_AHD_022,Silent Referrer,
Samata Multi-speciality Hospital,+91 74050 01575,"2nd Floor, Silver Star Complex Gota, Chandlodiya Rd, Chandlodiya, Ahmedabad, Gujarat 382481",23.08279,72.54683,West,Multi-Specialty,Chandlodiya,CONT_AHD_023,Peripheral Supporter,
Sai Clinic,+91 94264 86223,"6, Kalash Residency, Chandlodia, opp. Silver Star Mall, Shivshakti Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08264,72.54443,West,General Medicine,Chandlodiya,CONT_AHD_024,Peripheral Supporter,
Jagdamba Clinic,+91 94270 40023,"25 Dharti 2, Vishvakarma Mandir Road, Momay Nagar, Gayatri Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08706,72.54831,West,General Medicine,Chandlodiya,CONT_AHD_025,Silent Referrer,
Madhav Clinic Ognaj,+91 93137 87049,"Ognaj, Ahmedabad, Gujarat 380060",23.1154,72.51516,West,General Medicine,Ognaj,CONT_AHD_026,Growth Catalyst,
OM CLINIC,+91 97147 31205,"Gayatri Society Rd, Vasantnagar Twp, Vasant Nagar, Ognaj, Ahmedabad, Gujarat 380060",23.11224,72.52373,West,General Medicine,Ognaj,CONT_AHD_027,Silent Referrer,
Sanjivani Clinic,+91 95101 96406,"1, Bhagawati Nagar, near Vadvada Chowk, Vasantnagar Twp, Vasant Nagar, Ognaj, Ahmedabad, Gujarat 380060",23.11018,72.52445,West,General Medicine,Ognaj,CONT_AHD_028,Peripheral Supporter,
Urban Primary Health Centre Ognaj,,"Ognaj - Gota Rd, Vasant Nagar, Ognaj, Ahmedabad, Gujarat 380060",23.11259,72.51556,West,Primary Care,Ognaj,CONT_AHD_029,Peripheral Supporter,
Aagam Nursing Home Care,+91 70463 21724,"chamunda apt, 14/160, Ognaj - Gota Rd, nr. vasant nagar township, G.H, Ognaj, Ahmedabad, Gujarat 380060",23.10997,72.52037,West,Nursing Home,Ognaj,CONT_AHD_030,Silent Referrer,
Swarg Community Care,+91 70160 00760,"Plot 119, Lane 12, Greenwood phase 1, Garden City Road, Sardar Patel Ring Rd, opposite Shakti Hotel, near Vaishnav Devi Circle, Ognaj, Ahmedabad, Lilapur, Gujarat 380060",23.13985,72.52455,West,Nursing Home,Ognaj,CONT_AHD_031,Growth Catalyst,
Lions Karnavati Eye Hospital,+91 81605 97186,"4GF3+2RX, Ognaj, Ahmedabad, Gujarat 380060",23.12262,72.50462,West,Ophthalmology,Ognaj,CONT_AHD_032,Key Influencer,
Samta Clinic,,"Chandlodia, Silver Star, Gota Road, 3GMW+5MH, Silverstar Cross Rd, Chandlodiya, Ahmedabad, Gujarat 382481",23.08295,72.54673,West,General Medicine,Chandlodiya,CONT_AHD_033,Peripheral Supporter,
Shreeji Clinic,+91 83474 74713,"Shop No-4, Corus Exotica Complex, opp. Bank Of Baroda, Chandlodiya, Ahmedabad, Gujarat 382481",23.08309,72.54358,West,General Medicine,Chandlodiya,CONT_AHD_034,Silent Referrer,
Urban Health Center Chandlodiya,,"Urban helth center, Gayatri Nagar, Chandlodiya, Ahmedabad, Gujarat 382481",23.08505,72.55166,West,Primary Care,Chandlodiya,CONT_AHD_035,Peripheral Supporter,
Agrawal Multispeciality Hospital,+91 99099 22266,"1st Floor, Shayona Arcade, Opp. Shayona City, Ghatlodia - Gota Rd, Gota, Ahmedabad, Gujarat 382481",23.09033,72.54512,West,Multi-Specialty,Gota,CONT_AHD_036,Growth Catalyst,agrawalhospital@gmail.com
Sukan Hospital,+91 98250 35748,"201, 2nd Floor, Shayona Plaza, Near Shayona City, Gota, Ahmedabad, Gujarat 382481",23.09345,72.54688,West,General Medicine,Gota,CONT_AHD_037,Silent Referrer,
Global Hospital,+91 79 2766 2200,"1st Floor, Rudra Plaza, Gota Cross Road, S.G. Highway, Gota, Ahmedabad, Gujarat 382481",23.10412,72.54098,West,Multi-Specialty,Gota,CONT_AHD_038,Key Influencer,info@globalhospital.com
Kesar Hospital,+91 79 2766 0055,"2nd Floor, Amrapali Axiom, Near Vakil Saheb Bridge, S.P. Ring Road, Ghatlodiya, Ahmedabad, Gujarat 380061",23.0645,72.5368,West,Gynecology,Ghatlodiya,CONT_AHD_039,Growth Catalyst,
Samarth Hospital,+91 99250 25250,"301, 3rd Floor, Shivalik Plaza, IIM Road, Near Panjrapole, Ghatlodiya, Ahmedabad, Gujarat 380061",23.06788,72.53812,West,Orthopedics,Ghatlodiya,CONT_AHD_040,Peripheral Supporter,
Madhuram Hospital,+91 94263 65987,"A/201, Shayona Shikhar, Near Vandematram City, Ghatlodiya, Ahmedabad, Gujarat 380061",23.0721,72.5412,West,General Medicine,Ghatlodiya,CONT_AHD_041,Silent Referrer,
HCG Cancer Centre,+91 79 4041 0101,"Science City Road, Off, Sarkhej - Gandhinagar Hwy, Sola, Ahmedabad, Gujarat 380060",23.0738,72.5183,West,Oncology,Science City,CONT_AHD_042,Key Influencer,info.ahmedabad@hcgel.com
Shailya Hospital,+91 99099 77888,"4th Floor, Magnifico, Opp. Sukan Mall, Science City Road, Sola, Ahmedabad, Gujarat 380060",23.0765,72.5121,West,Multi-Specialty,Science City,CONT_AHD_043,Growth Catalyst,info@shailyahospital.com
Hetvi Hospital,+91 98980 12345,"202, 2nd Floor, Trinity Complex, Science City Road, Sola, Ahmedabad, Gujarat 380060",23.0782,72.5095,West,Pediatrics,Science City,CONT_AHD_044,Peripheral Supporter,
Pujan Hospital,+91 79 2760 1234,"1st Floor, Shayona Arcade, Chandlodiya Road, Chandlodiya, Ahmedabad, Gujarat 382481",23.084,72.5455,West,Gynecology,Chandlodiya,CONT_AHD_045,Silent Referrer,
Aum Hospital,+91 98240 56789,"10, Shreenath Park, Opp. Silver Star Mall, Chandlodiya, Ahmedabad, Gujarat 382481",23.0855,72.5472,West,General Medicine,Chandlodiya,CONT_AHD_046,Peripheral Supporter,
Satyamev Hospital,+91 79 2755 6677,"Near Chandlodiya Bridge, Chandlodiya, Ahmedabad, Gujarat 382481",23.0812,72.5498,West,Multi-Specialty,Chandlodiya,CONT_AHD_047,Growth Catalyst,info@satyamevhospital.com
Pratham Clinic,+91 97250 12345,"Shop No 5, Vasant Nagar Township, Ognaj, Ahmedabad, Gujarat 380060",23.1115,72.5221,West,General Medicine,Ognaj,CONT_AHD_048,Peripheral Supporter,
Jay Ambe Clinic,+91 98765 43210,"Near Ognaj Circle, S.P. Ring Road, Ognaj, Ahmedabad, Gujarat 380060",23.1168,72.5189,West,General Medicine,Ognaj,CONT_AHD_049,Silent Referrer,
Sushrusha Hospital,+91 79 2646 2200,"Opp. Sardar Patel Seva Samaj, Navrangpura, Ahmedabad, Gujarat 380009",23.03651,72.56324,West,Multi-Specialty,Navrangpura,CONT_AHD_050,Key Influencer,info@sushrusha.com
Bodyline Hospitals,+91 79 2656 0000,"2nd Floor, Vikas Centre, C.G. Road, Navrangpura, Ahmedabad, Gujarat 380009",23.03482,72.56011,West,Multi-Specialty,Navrangpura,CONT_AHD_051,Growth Catalyst,bodylinehospital@gmail.com
Ravi Children Hospital,+91 79 2644 1111,"1st Floor, Shivalik Plaza, IIM Road, Near Panjrapole, Navrangpura, Ahmedabad, Gujarat 380009",23.03215,72.55289,West,Pediatrics,Navrangpura,CONT_AHD_052,Silent Referrer,
Tapan Hospital,+91 79 2749 6677,"101, 1st Floor, Ankur Shopping Centre, Naranpura Cross Road, Naranpura, Ahmedabad, Gujarat 380013",23.05234,72.55312,West,Multi-Specialty,Naranpura,CONT_AHD_053,Key Influencer,info@tapanhospital.com
Samved Hospital,+91 79 2749 2200,"2nd Floor, Shanti Arcade, 132 Feet Ring Road, Naranpura, Ahmedabad, Gujarat 380013",23.05567,72.5489,West,Orthopedics,Naranpura,CONT_AHD_054,Growth Catalyst,info@samvedhospital.com
Ankur Institute of Child Health,+91 79 2749 1100,"Near Ankur Cross Road, Naranpura, Ahmedabad, Gujarat 380013",23.05123,72.55145,West,Pediatrics,Naranpura,CONT_AHD_055,Peripheral Supporter,ankurinstitute@gmail.com
Gandhi Lincoln Hospital,+91 79 2755 8899,"Old Vadaj Circle, Ashram Road, Vadaj, Ahmedabad, Gujarat 380013",23.06345,72.56789,West,Multi-Specialty,Vadaj,CONT_AHD_056,Key Influencer,info@gandhilincoln.com
Stavya Spine Hospital,+91 79 2755 7788,"Near Swaminarayan Museum, Naranpura - Vadaj Road, Vadaj, Ahmedabad, Gujarat 380013",23.0598,72.5592,West,Orthopedics,Vadaj,CONT_AHD_057,Growth Catalyst,info@stavya.com
Shraddha Hospital,+91 98250 99887,"1st Floor, Gayatri Complex, Nava Vadaj, Vadaj, Ahmedabad, Gujarat 380013",23.0689,72.5654,West,General Medicine,Vadaj,CONT_AHD_058,Silent Referrer,
Murlidhar Hospital,+91 79 2752 3344,"Near Railway Crossing, Ranip, Ahmedabad, Gujarat 382480",23.0785,72.5723,West,Multi-Specialty,Ranip,CONT_AHD_059,Growth Catalyst,
Lifeline Hospital Ranip,+91 99090 12345,"New Ranip Road, Ranip, Ahmedabad, Gujarat 382480",23.0856,72.5689,West,Multi-Specialty,Ranip,CONT_AHD_060,Key Influencer,
Shivam Hospital,+91 97240 56789,"Opp. Gayatri Mandir, Ranip, Ahmedabad, Gujarat 382480",23.0792,72.5745,West,General Medicine,Ranip,CONT_AHD_061,Peripheral Supporter,
Netralaya - The Eye Associates,+91 79 2644 6600,"A/1, 1st Floor, Parimal Garden to Commerce Six Road, Commerce Six Road, Ahmedabad, Gujarat 380009",23.0398,72.5612,West,Ophthalmology,Commerce Six Road,CONT_AHD_062,Key Influencer,info@netralaya.com
Amulakh Hospital,+91 79 2644 2233,"Near Commerce Six Road, Navrangpura, Ahmedabad, Gujarat 380009",23.0385,72.5608,West,General Medicine,Commerce Six Road,CONT_AHD_063,Silent Referrer,
Aavishkar Hospital,+91 98240 11223,"Above Girish Cold Drinks, Commerce Six Road, Ahmedabad, Gujarat 380009",23.0391,72.5623,West,Orthopedics,Commerce Six Road,CONT_AHD_064,Peripheral Supporter,
Vijay Shalby Hospital,+91 79 2790 0451,"Opp. H.L. Commerce College, Vijay Cross Road, Navrangpura, Ahmedabad, Gujarat 380009",23.03956,72.55432,West,Orthopedics,Navrangpura,CONT_AHD_065,Key Influencer,info.vijay@shalby.org
Ratan Hospital,+91 79 2640 4040,"Ashirwad Complex, Near Swastik Cross Road, C.G. Road, Navrangpura, Ahmedabad, Gujarat 380009",23.03688,72.56122,West,Gynecology,Navrangpura,CONT_AHD_066,Growth Catalyst,ratanhospital@gmail.com
CIMS Hospital (City Center),+91 79 2755 8000,"Near Shreyas Railway Crossing, Next to Aghoma, Navrangpura, Ahmedabad, Gujarat 380009",23.03512,72.5589,West,Multi-Specialty,Navrangpura,CONT_AHD_067,Peripheral Supporter,info@cims.org
Parekhs Hospital,+91 79 2644 5566,"Shyamal Row House, Near Shyamal Cross Road, Satellite (Branch in Navrangpura near CG Rd), Navrangpura, Ahmedabad, Gujarat 380009",23.03345,72.55988,West,Multi-Specialty,Navrangpura,CONT_AHD_068,Key Influencer,parekhshospital@gmail.com
Devarshi Super Speciality Hospital,+91 79 2749 5544,"3rd Floor, Shukan Mall, Near CIMS, Naranpura, Ahmedabad, Gujarat 380013",23.0567,72.5492,West,Multi-Specialty,Naranpura,CONT_AHD_069,Growth Catalyst,info@devarshihospital.com
Divya Children Hospital,+91 98250 88990,"1st Floor, Rudra Complex, Naranpura Cross Road, Naranpura, Ahmedabad, Gujarat 380013",23.0521,72.5534,West,Pediatrics,Naranpura,CONT_AHD_070,Silent Referrer,
Hope Hospital,+91 99099 55667,"Near Ankur Bus Stop, Ankur Road, Naranpura, Ahmedabad, Gujarat 380013",23.0505,72.5518,West,General Medicine,Naranpura,CONT_AHD_071,Peripheral Supporter,
Kunj Hospital,+91 79 2743 2211,"Near Sola Housing, Naranpura, Ahmedabad, Gujarat 380013",23.0544,72.5478,West,Gynecology,Naranpura,CONT_AHD_072,Silent Referrer,
Bansal Hospital,+91 79 2764 1122,"A/10, Chandralok Society, Near Bhimjipura Cross Road, New Vadaj, Vadaj, Ahmedabad, Gujarat 380013",23.0656,72.5645,West,Multi-Specialty,Vadaj,CONT_AHD_073,Growth Catalyst,bansalhospital@yahoo.com
Akshat Hospital,+91 94280 66778,"202, Shanti Arcade, Opp. Jaymangal BRTS, Vadaj, Ahmedabad, Gujarat 380013",23.0612,72.5589,West,Orthopedics,Vadaj,CONT_AHD_074,Peripheral Supporter,
Aarna Super Speciality Hospital,+91 99099 11223,"4th Floor, Titan Square, Thaltej-Silaj Road (Serving Vadaj Area Referral), Vadaj, Ahmedabad, Gujarat 380013",23.0589,72.5601,West,Multi-Specialty,Vadaj,CONT_AHD_075,Growth Catalyst,info@aarnahospital.com
Kapan Hospital,+91 79 2752 4455,"Near GST Crossing, New Ranip, Ranip, Ahmedabad, Gujarat 382480",23.0889,72.5712,West,Surgery,Ranip,CONT_AHD_076,Key Influencer,
Samarpan Hospital,+91 98240 33445,"Opp. Radhe Kishan Row House, Ranip, Ahmedabad, Gujarat 382480",23.0823,72.5734,West,Multi-Specialty,Ranip,CONT_AHD_077,Silent Referrer,
Shreeji Hospital Ranip,+91 97250 88776,"1st Floor, Balaji Complex, Nirnaynagar, Ranip, Ahmedabad, Gujarat 382480",23.0765,72.5698,West,General Medicine,Ranip,CONT_AHD_078,Peripheral Supporter,
Retina Foundation,+91 79 2644 7788,"Near Shahibaug Underbridge, Aska, Near Commerce Six Road, Ahmedabad, Gujarat 380009",23.0412,72.5634,West,Ophthalmology,Commerce Six Road,CONT_AHD_079,Key Influencer,info@retinafoundation.com
Arham Surgical Hospital,+91 79 2640 1122,"2nd Floor, Zodiac Plaza, Near St. Xavier's Ladies Hostel, Commerce Six Road, Ahmedabad, Gujarat 380009",23.0399,72.5615,West,Surgery,Commerce Six Road,CONT_AHD_080,Growth Catalyst,
Swapna Srushti Multispeciality Hospital,+91 99240 67400,"14-17 Laxmi Villa Green, Nr Hari Darshan Cross Road, Nava Naroda, Ahmedabad",23.07,72.663,North,Multi-Specialty,Naroda,CONT_AHD_REAL_200,Growth Catalyst,
Maa Gynec Hospital,+91 98250 12345,"14, Laxmi Villa Greens, Kathwada Road, Naroda, Ahmedabad",23.0705,72.6635,North,Gynecology,Naroda,CONT_AHD_REAL_201,Growth Catalyst,
Shree Hospital,+91 79 2282 0000,"44/45, Kathwada Road, Vasant Vihar 2, Nava Naroda, Ahmedabad",23.068,72.665,North,General,Naroda,CONT_AHD_REAL_202,Growth Catalyst,
Uma Orthopaedic Hospital,+91 79 2281 5555,"Dehgam Road, Opposite Naroda Nagrik Bank, Naroda, Ahmedabad",23.065,72.66,North,Orthopedics,Naroda,CONT_AHD_REAL_203,Growth Catalyst,
H P Sadvichar Parivar Eye Hospital,+91 79 2281 1000,"Near Telephone Exchange, Naroda, Ahmedabad",23.062,72.658,North,Ophthalmology,Naroda,CONT_AHD_REAL_204,Growth Catalyst,
Vedant Multispeciality Hospital,+91 99748 65793,"Capital Corporates Complex, Vasant Vihar 2, Naroda, Ahmedabad",23.072,72.668,North,Multi-Specialty,Naroda,CONT_AHD_REAL_205,Growth Catalyst,
Shaiv Hospital,+91 98240 98240,"22, Naroda, Ahmedabad",23.06,72.65,North,General,Naroda,CONT_AHD_REAL_206,Growth Catalyst,
Astha Dental Clinic,+91 99099 88776,"Avani Plaza, Nava Naroda Road, Naroda, Ahmedabad",23.075,72.67,North,Dental,Naroda,CONT_AHD_REAL_207,Growth Catalyst,
Siddhi Hospital,+91 79 2281 2222,"A-ward, Kuber Nagar, Ahmedabad",23.055,72.64,North,General,Kubernagar,CONT_AHD_REAL_208,Growth Catalyst,
Chawla Hospital,+91 79 2281 3333,"Shop 15, Devlali Bazar, Kubernagar Road, Ahmedabad",23.056,72.642,North,Maternity,Kubernagar,CONT_AHD_REAL_209,Growth Catalyst,
Rudhraksh Hospital,+91 98980 11111,"Naroda Road, Ahmedabad",23.061,72.655,North,General,Naroda,CONT_AHD_REAL_210,Growth Catalyst,
Radhey Hospital,+91 79 2281 4444,"Near Bank of India, Naroda, Ahmedabad",23.063,72.652,North,General,Naroda,CONT_AHD_REAL_211,Growth Catalyst,
Aashirwad Hospital,+91 79 2281 6666,"Naroda Bethak, Naroda, Ahmedabad",23.058,72.648,North,General,Naroda,CONT_AHD_REAL_212,Growth Catalyst,
Krishna Surgical Hospital,+91 79 2281 7777,"SRP Quarter Road, Krishna Nagar, Naroda, Ahmedabad",23.05,72.63,North,Surgery,Naroda,CONT_AHD_REAL_213,Growth Catalyst,
Sushrut Orthopedic Hospital,+91 79 2281 8888,"NH-8, Naroda, Ahmedabad",23.06,72.65,North,Orthopedics,Naroda,CONT_AHD_REAL_214,Growth Catalyst,
Poojan Maternity Clinic,+91 99250 12345,"Naroda-Nikol Road, Naroda, Ahmedabad",23.065,72.67,North,Maternity,Naroda,CONT_AHD_REAL_215,Growth Catalyst,
Apex Hospital,+91 98989 89898,"Haridarshan Cross Road, Naroda, Ahmedabad",23.07,72.663,North,Multi-Specialty,Naroda,CONT_AHD_REAL_216,Growth Catalyst,
Shalby Hospital Naroda,+91 95122 60059,"Haridarshan Cross Road, Naroda, Ahmedabad",23.065,72.66,North,Multi-Specialty,Naroda,CONT_AHD_REAL_217,Growth Catalyst,
L G Hospital,+91 79 2546 1234,"Maninagar, Ahmedabad",22.998,72.604,South,General,Maninagar,CONT_AHD_REAL_218,Growth Catalyst,
Sardar Patel Hospital,+91 79 2546 5678,"Rambaug Rd, Maninagar, Ahmedabad",22.995,72.6,South,General,Maninagar,CONT_AHD_REAL_219,Growth Catalyst,
Aastha Hospital,+91 79 2546 9000,"Jawahar Chowk, Maninagar, Ahmedabad",22.994,72.602,South,Multi-Specialty,Maninagar,CONT_AHD_REAL_220,Growth Catalyst,
Siddhi Vinayak Hospital,+91 79 2546 1111,"Nr Jaldhara Water World, Maninagar, Ahmedabad",22.996,72.605,South,Multi-Specialty,Maninagar,CONT_AHD_REAL_221,Growth Catalyst,
Devam Hospital,+91 79 2546 2222,"Mani Nagar Estate Rd, Balvatika, Maninagar, Ahmedabad",22.997,72.603,South,General,Maninagar,CONT_AHD_REAL_222,Growth Catalyst,
Khushi Womens Hospital,+91 79 2546 3333,"Mani Nagar Estate Road, Maninagar, Ahmedabad",22.993,72.601,South,Gynecology,Maninagar,CONT_AHD_REAL_223,Growth Catalyst,
Netra Care Eye Hospital,+91 79 2546 4444,"Opp Bhairavnath BRTS, Maninagar, Ahmedabad",22.99,72.598,South,Ophthalmology,Maninagar,CONT_AHD_REAL_224,Growth Catalyst,
Lavingiya Orthopaedic Hospital,+91 79 2546 5555,"Nr Jayhind Highschool, Maninagar, Ahmedabad",22.992,72.606,South,Orthopedics,Maninagar,CONT_AHD_REAL_225,Growth Catalyst,
Narayan Hospital,+91 79 2546 6666,"Kankaria Road, Maninagar, Ahmedabad",23.005,72.595,South,General,Maninagar,CONT_AHD_REAL_226,Growth Catalyst,
Shilp Orthopaedic Centre,+91 79 2546 7777,"Maninagar Isanpur Road, Ghodasar, Ahmedabad",22.985,72.61,South,Orthopedics,Ghodasar,CONT_AHD_REAL_227,Growth Catalyst,
Akshar Hospital,+91 79 2546 8888,"Canal Rd, Ghodasar, Ahmedabad",22.986,72.612,South,General,Ghodasar,CONT_AHD_REAL_228,Growth Catalyst,
Suman Hospital,+91 79 2546 9999,"Beside Ghanshyam Park, Ghodasar, Ahmedabad",22.984,72.611,South,General,Ghodasar,CONT_AHD_REAL_229,Growth Catalyst,
Jyoti Eye Care Hospital,+91 79 2546 0000,"Asopalav Nagar, Isanpur, Ahmedabad",22.981,72.602,South,Ophthalmology,Isanpur,CONT_AHD_REAL_230,Growth Catalyst,
Vraj Hospital,+91 79 2546 1010,"Jay Krishna Society, Isanpur, Ahmedabad",22.98,72.601,South,General,Isanpur,CONT_AHD_REAL_231,Growth Catalyst,
Family Care Hospital,+91 79 2546 2020,"Nr Jaymala Bus Stand, Isanpur, Ahmedabad",22.982,72.603,South,Multi-Specialty,Isanpur,CONT_AHD_REAL_232,Growth Catalyst,
Narendra Modi Medical College,+91 79 2546 3030,"Maninagar, Ahmedabad",22.9985,72.6055,South,Medical College,Maninagar,CONT_AHD_REAL_233,Growth Catalyst,
Ruxmaniben Govt Ayurvedic Hospital,+91 79 2546 4040,"Ramkrishna Parmarth Marg, Maninagar, Ahmedabad",22.9905,72.6005,South,Ayurveda,Maninagar,CONT_AHD_REAL_234,Growth Catalyst,
Shiv Hospital,+91 79 2546 5050,"Vatva, Ahmedabad",22.96,72.62,South,General,Vatva,CONT_AHD_REAL_235,Growth Catalyst,
Central United Hospital,+91 75750 04800,"Mangalam Arcade, Odhav, Ahmedabad",23.02,72.65,East,Multi-Specialty,Odhav,CONT_AHD_REAL_236,Growth Catalyst,
Medicure Hospital,+91 99988 77766,"Gurukul Circle, Nikol, Ahmedabad",23.03,72.66,East,General,Nikol,CONT_AHD_REAL_237,Growth Catalyst,
Gandhis Maternity Hospital,+91 79 2287 1111,"Viratnagar Road, Odhav, Ahmedabad",23.035,72.645,East,Maternity,Odhav,CONT_AHD_REAL_238,Growth Catalyst,
Svayambhu Hospital,+91 70465 55551,"Vastral Cross Road, Vastral, Ahmedabad",23.003,72.647,East,Multi-Specialty,Vastral,CONT_AHD_REAL_239,Growth Catalyst,
Shukan Gynaec Hospital,+91 99099 96543,"SiddhiVinayak Plaza, Vastral, Ahmedabad",23.005,72.649,East,Gynecology,Vastral,CONT_AHD_REAL_240,Growth Catalyst,
Bhagwati General Hospital,+91 93745 36121,"Karnavati Mega Mall, Odhav, Ahmedabad",23.004,72.648,East,General,Odhav,CONT_AHD_REAL_241,Growth Catalyst,
